ParkName,Year,RecreationVisits,VisitorSpending,JobsSupported,LaborIncome,ValueAdded,EconomicOutput
Curecanti NRA,2024,980899.0,51506000.0,412.0,19039000.0,35676000.0,57165000.0
Cuyahoga Valley NP,2024,2912454.0,143920000.0,1598.0,71532000.0,126137000.0,213710000.0
Dayton Aviation Heritage NHP,2024,87032.0,6270000.0,73.0,3285000.0,5756000.0,9737000.0
De Soto NMEM,2024,155016.0,10909000.0,117.0,5121000.0,9399000.0,15711000.0
Death Valley NP,2024,1440484.0,146167000.0,1343.0,66664000.0,119573000.0,191059000.0
Delaware Water Gap NRA,2024,4079763.0,164196000.0,1580.0,76077000.0,127771000.0,210658000.0
Denali NP & PRES,2024,466227.0,611952000.0,5659.0,297298000.0,539589000.0,879690000.0
Devils Postpile NM,2024,94215.0,7307000.0,70.0,2965000.0,5170000.0,8660000.0
Devils Tower NM,2024,540890.0,41734000.0,407.0,15647000.0,30340000.0,52289000.0
Dinosaur NM,2024,322113.0,24210000.0,243.0,6911000.0,14622000.0,26115000.0
Dry Tortugas NP,2024,84873.0,6250000.0,49.0,2346000.0,4333000.0,6824000.0
Dwight D. Eisenhower MEM,2024,731476.0,16737000.0,158.0,8560000.0,15614000.0,23971000.0
Edgar Allan Poe NHS,2024,8131.0,572000.0,6.0,311000.0,527000.0,846000.0
Effigy Mounds NM,2024,61975.0,4753000.0,51.0,1801000.0,3302000.0,5897000.0
Eisenhower NHS,2024,123466.0,8689000.0,81.0,4312000.0,7657000.0,11913000.0
El Malpais NM,2024,163679.0,11518000.0,123.0,4716000.0,8603000.0,14999000.0
El Morro NM,2024,57827.0,4420000.0,43.0,1337000.0,2562000.0,4710000.0
Eleanor Roosevelt NHS,2024,23699.0,1668000.0,15.0,808000.0,1423000.0,2200000.0
Emmett Till and Mamie Till-Mobley NM,2024,3513.0,248000.0,2.0,108000.0,194000.0,318000.0
Eugene O'Neill NHS,2024,17653.0,1242000.0,10.0,672000.0,1132000.0,1682000.0
Everglades NP,2024,741983.0,114601000.0,1126.0,62589000.0,111133000.0,175943000.0
Federal Hall NMEM,2024,63314.0,4025000.0,32.0,2348000.0,4045000.0,5623000.0
Fire Island NS,2024,303731.0,16055000.0,122.0,8099000.0,14207000.0,20769000.0
First Ladies NHS,2024,12642.0,890000.0,10.0,441000.0,764000.0,1291000.0
First State NHP,2024,208870.0,14698000.0,148.0,8004000.0,13490000.0,21323000.0
Flight 93 NMEM,2024,349566.0,24598000.0,266.0,12010000.0,20483000.0,34434000.0
Florissant Fossil Beds NM,2024,71499.0,5031000.0,47.0,2484000.0,4495000.0,7090000.0
Ford's Theatre NHS,2024,457132.0,10460000.0,99.0,5350000.0,9758000.0,14981000.0
Fort Bowie NHS,2024,8483.0,372000.0,3.0,121000.0,225000.0,399000.0
Fort Caroline NMEM,2024,260350.0,18320000.0,197.0,8414000.0,15428000.0,25952000.0
Fort Davis NHS,2024,42553.0,2994000.0,28.0,956000.0,1828000.0,3181000.0
Fort Donelson NB,2024,166026.0,5540000.0,51.0,1819000.0,3226000.0,5805000.0
Fort Frederica NM,2024,243027.0,19048000.0,203.0,8174000.0,14980000.0,25396000.0
Fort Laramie NHS,2024,44045.0,1401000.0,13.0,384000.0,724000.0,1384000.0
Fort Larned NHS,2024,26219.0,1897000.0,20.0,636000.0,1195000.0,2212000.0
Fort Matanzas NM,2024,680040.0,47854000.0,506.0,20580000.0,38344000.0,64994000.0
Fort McHenry NM & HS,2024,394175.0,27738000.0,261.0,13886000.0,24907000.0,38592000.0
Fort Necessity NB,2024,276173.0,19423000.0,216.0,9742000.0,16752000.0,28239000.0
Fort Point NHS,2024,1189908.0,83732000.0,692.0,45277000.0,76246000.0,113371000.0
Fort Pulaski NM,2024,356993.0,27688000.0,264.0,10871000.0,20970000.0,34697000.0
Fort Raleigh NHS,2024,274783.0,19335000.0,208.0,7612000.0,14009000.0,24495000.0
Fort Scott NHS,2024,24654.0,513000.0,5.0,157000.0,275000.0,532000.0
Fort Smith NHS,2024,124486.0,8760000.0,99.0,3439000.0,6408000.0,11524000.0
Fort Stanwix NM,2024,79704.0,5286000.0,46.0,2130000.0,4152000.0,6509000.0
Fort Sumter and Fort Moultrie NHP,2024,384308.0,27042000.0,268.0,11026000.0,21297000.0,35328000.0
Fort Union NM,2024,9217.0,741000.0,7.0,270000.0,493000.0,822000.0
Fort Union Trading Post NHS,2024,12028.0,1137000.0,10.0,361000.0,632000.0,1114000.0
Fort Vancouver NHS,2024,1007756.0,70914000.0,714.0,35289000.0,63114000.0,102283000.0
Fort Washington Park,2024,491013.0,34552000.0,317.0,17047000.0,30951000.0,47676000.0
Fossil Butte NM,2024,21491.0,1270000.0,11.0,432000.0,807000.0,1353000.0
Franklin Delano Roosevelt MEM,2024,3225923.0,26649000.0,258.0,14337000.0,24410000.0,37475000.0
Frederick Douglass NHS,2024,25836.0,591000.0,6.0,302000.0,551000.0,844000.0
Frederick Law Olmsted NHS,2024,13218.0,930000.0,9.0,522000.0,877000.0,1360000.0
