"park_name","park_type","state","region","unit_code","entrance_fee","fee_type","per_person_fee","fee_tier","total_visits_8yr","avg_annual_visits","visits_2024","traffic_tier","total_visitor_spending_8yr","avg_visitor_spending_8yr","total_economic_output_8yr","avg_economic_output_8yr","avg_jobs_supported_8yr","avg_labor_income_8yr","spending_per_visit","pricing_diagnosis","is_2026_surcharge_park","is_fee_eligible","exclusion_reason","cluster_tier","projected_fee_revenue_5_usd"
"Blue Ridge PKWY","National Parkway","NC","Southeast","BLRI",NULL,NULL,NULL,"Free","125010179","15626272","16733639","Major (>3M/yr)","9789467800","1223683475","12432070700","1554008838","16718","495638775","78.13","Untapped: Free + High Traffic",0,0,"Parkway: deed restrictions and diffuse multi-jurisdiction access",NULL,"0"
"Golden Gate NRA","National Recreation Area","CA","Pacific West","GOGA",NULL,NULL,NULL,"Free","119100781","14887598","17187508","Major (>3M/yr)","8358975100","1044871888","11085701200","1385712650","9467","617904100","69.19","Untapped: Free + High Traffic",0,0,"Urban NRA/NHP: uncontrolled multi-point access",NULL,"0"
"Great Smoky Mountains NP","National Park","TN","Southeast","GRSM",NULL,NULL,NULL,"Free","99992218","12499027","12191834","Major (>3M/yr)","11597948100","1449743513","16705917000","2088239625","20382","738898563","115.09","Untapped: Free + High Traffic",0,1,NULL,"Case Study (GRSM)","0"
"Gateway NRA","National Recreation Area","NY","Northeast","GATE",NULL,NULL,NULL,"Free","71667727","8958466","8929035","Major (>3M/yr)","2036772800","254596600","2365173400","295646675","2755","106764925","28.45","Untapped: Free + High Traffic",0,0,"Urban NRA/NHP: uncontrolled multi-point access",NULL,"0"
"George Washington MEM PKWY","National Parkway","VA","National Capital","GWMP",NULL,NULL,NULL,"Free","56968318","7121040","6782717","Major (>3M/yr)","759752600","94969075","1134986900","141873363","1220","53725763","13.37","Untapped: Free + High Traffic",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Lincoln MEM","National Memorial","DC","National Capital","LINC",NULL,NULL,NULL,"Free","56745282","7093160","8479349","Major (>3M/yr)","1162470800","145308850","1712743100","214092888","1778","79922675","20.39","Untapped: Free + High Traffic",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Lake Mead NRA","National Recreation Area","NV","Pacific West","LAKE","15","per-person","15","Mid ($10-19)","56369951","7046244","6412854","Major (>3M/yr)","2723361300","340420163","3324022900","415502863","3786","152785300","48.78","Aligned",0,1,NULL,NULL,"0"
"Natchez Trace PKWY","National Parkway","MS","Southeast","NATR",NULL,NULL,NULL,"Free","52203915","6525489","7364833","Major (>3M/yr)","2321500100","290187513","2844767200","355595900","3225","129517025","43.41","Untapped: Free + High Traffic",0,0,"Parkway: deed restrictions and diffuse multi-jurisdiction access",NULL,"0"
"Gulf Islands NS","National Seashore","FL","Southeast","GUIS","15","per-person","15","Mid ($10-19)","45018282","5627285","7801176","Major (>3M/yr)","2163970900","270496363","2743400300","342925038","3381","114058900","47.26","Aligned",0,1,NULL,NULL,"0"
"Grand Canyon NP","National Park","AZ","Intermountain","GRCA","20","per-person","20","High ($20+)","40423888","5052986","4919163","Major (>3M/yr)","6081612800","760201600","7834904800","979363100","9717","331007538","152.16","Aligned",1,1,NULL,NULL,"0"
"Chesapeake & Ohio Canal NHP","National Historical Park","MD","National Capital","CHOH","10","per-person","10","Mid ($10-19)","37486884","4685861","4421276","Major (>3M/yr)","758581600","94822700","1122001400","140250175","1216","51577925","20.28","Aligned",0,1,NULL,NULL,"0"
"Zion NP","National Park","UT","Intermountain","ZION","20","per-person","20","High ($20+)","36206449","4525806","4946592","Major (>3M/yr)","3753540600","469192575","5214266500","651783313","6997","189031488","100.83","Aligned",1,1,NULL,NULL,"0"
"World War II MEM","National Memorial","DC","National Capital","WWII",NULL,NULL,NULL,"Free","35107948","4388494","5160769","Major (>3M/yr)","719426300","89928288","1060459200","132557400","1101","49493075","20.39","Untapped: Free + High Traffic",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Vietnam Veterans MEM","National Memorial","DC","National Capital","VIVE",NULL,NULL,NULL,"Free","34815301","4351913","5295711","Major (>3M/yr)","713864500","89233063","1052121400","131515175","1091","49084338","20.39","Untapped: Free + High Traffic",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Rocky Mountain NP","National Park","CO","Intermountain","ROMO","15","per-person","15","Mid ($10-19)","34008418","4251052","4154349","Major (>3M/yr)","3193246800","399155850","4890532000","611316500","5248","223560863","94.30","Aligned",1,1,NULL,NULL,"0"
"Yellowstone NP","National Park","WY","Intermountain","YELL","20","per-person","20","High ($20+)","33454337","4181792","4744353","Major (>3M/yr)","4377787700","547223463","5644550000","705568750","7206","247198825","130.46","Aligned",1,1,NULL,NULL,"0"
"Cape Cod NS","National Seashore","MA","Northeast","CACO","15","per-person","15","Mid ($10-19)","31849046","3981131","3823242","Major (>3M/yr)","3942112100","492764013","5191793900","648974238","5783","236616588","124.36","Aligned",0,1,NULL,NULL,"0"
"Glen Canyon NRA","National Recreation Area","UT","Intermountain","GLCA","15","per-person","15","Mid ($10-19)","31597974","3949747","4725610","Major (>3M/yr)","3134136200","391767025","3788117800","473514725","4598","158256025","99.59","Aligned",0,1,NULL,NULL,"0"
"Delaware Water Gap NRA","National Recreation Area","PA","Northeast","DEWA",NULL,NULL,NULL,"Free","31114690","3889336","4079763","Major (>3M/yr)","1149594100","143699263","1689428200","211178525","1901","83940362","36.75","Untapped: Free + High Traffic",0,1,NULL,"Tier 2","13612676"
"Yosemite NP","National Park","CA","Pacific West","YOSE","20","per-person","20","High ($20+)","30011522","3751440","4121807","Major (>3M/yr)","3857820000","482227500","5055478700","631934838","5969","222143300","128.55","Aligned",1,1,NULL,NULL,"0"
"Acadia NP","National Park","ME","Northeast","ACAD","20","per-person","20","High ($20+)","29034075","3629259","3961661","Major (>3M/yr)","3334322800","416790350","4604990800","575623850","5631","190417438","114.18","Aligned",1,1,NULL,NULL,"0"
"Korean War Veterans MEM","National Memorial","DC","National Capital","KOWA",NULL,NULL,NULL,"Free","28942335","3617792","4344305","Major (>3M/yr)","675195000","84399375","1005135000","125641875","1047","48844125","22.87","Untapped: Free + High Traffic",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Grand Teton NP","National Park","WY","Intermountain","GRTE","20","per-person","20","High ($20+)","27240184","3405023","3628222","Major (>3M/yr)","5363687900","670460988","6784176500","848022063","8564","294217638","196.92","Aligned",1,1,NULL,NULL,"0"
"Castle Clinton NM","National Monument","NY","Northeast","CACL",NULL,NULL,NULL,"Free","27155333","3394417","3822759","Major (>3M/yr)","728054700","91006838","876432700","109554088","881","43899675","26.92","Untapped: Free + High Traffic",0,0,"Urban NRA/NHP: uncontrolled multi-point access",NULL,"0"
"Statue of Liberty NM","National Monument","NY","Northeast","STLI",NULL,NULL,NULL,"Free","25753607","3219201","3722029","Major (>3M/yr)","1617845100","202230638","2294936800","286867100","2202","115279288","63.01","Untapped: Free + High Traffic",0,1,NULL,"Tier 2","11267204"
"Chattahoochee River NRA","National Recreation Area","GA","Southeast","CHAT","5","per-person","5","Low ($1-9)","25020259","3127532","2940804","Major (>3M/yr)","1189009700","148626213","1699997700","212499713","1991","73657238","47.43","Underpriced: Low Fee + High Traffic",0,1,NULL,NULL,"0"
"San Francisco Maritime NHP","National Historical Park","CA","Pacific West","SAFR",NULL,NULL,NULL,"Free","24836996","3104625","2535134","Major (>3M/yr)","658207600","82275950","763335400","95416925","793","39486100","26.92","Untapped: Free + High Traffic",0,1,NULL,"Tier 2","10866188"
"Independence NHP","National Historical Park","PA","Northeast","INDE",NULL,NULL,NULL,"Free","24832000","3104000","2798651","Major (>3M/yr)","1543676600","192959575","2331827200","291478400","2629","111339213","63.01","Untapped: Free + High Traffic",0,0,"Urban NRA/NHP: uncontrolled multi-point access",NULL,"0"
"Olympic NP","National Park","WA","Pacific West","OLYM","15","per-person","15","Mid ($10-19)","24068101","3008513","3717267","Major (>3M/yr)","2167238000","270904750","2991985900","373998238","2888","132401438","89.90","Aligned",0,1,NULL,NULL,"0"
"Colonial NHP","National Historical Park","VA","Northeast","COLO","15","per-person","15","Mid ($10-19)","24021386","3002673","2551228","Major (>3M/yr)","2418390000","302298750","3134799900","391849988","4374","121478238","101.91","Aligned",0,1,NULL,NULL,"0"
"Martin Luther King, Jr. MEM","National Memorial","DC","National Capital","MLKM",NULL,NULL,NULL,"Free","23917375","2989672","3251594","Significant (1M-3M/yr)","487682700","60960338","717653100","89706638","750","33506950","20.39","Untapped: Free + High Traffic",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Joshua Tree NP","National Park","CA","Pacific West","JOTR","15","per-person","15","Mid ($10-19)","23569062","2946133","2991874","Significant (1M-3M/yr)","1261761400","157720175","1601580500","200197563","1862","73045088","53.38","Aligned",0,1,NULL,NULL,"0"
"Glacier NP","National Park","MT","Intermountain","GLAC","20","per-person","20","High ($20+)","23152009","2894001","3208755","Significant (1M-3M/yr)","2760538300","345067288","3972495400","496561925","5110","166524850","119.55","Aligned",1,1,NULL,NULL,"0"
"Franklin Delano Roosevelt MEM","National Memorial","DC","National Capital","FRDE",NULL,NULL,NULL,"Free","22948334","2868542","3225923","Significant (1M-3M/yr)","377161200","47145150","553220700","69152588","600","26203063","16.88","Untapped: Free + High Traffic",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Cape Hatteras NS","National Seashore","NC","Southeast","CAHA",NULL,NULL,NULL,"Free","21937936","2742242","2762954","Significant (1M-3M/yr)","2823756800","352969600","3696444200","462055525","5027","166357963","126.89","Untapped: Free + High Traffic",0,1,NULL,"Tier 1","9597847"
"Thomas Jefferson MEM","National Memorial","DC","National Capital","JEFM",NULL,NULL,NULL,"Free","21224261","2653033","2915319","Significant (1M-3M/yr)","543545800","67943225","811265400","101408175","843","39528775","25.07","Untapped: Free + High Traffic",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Cuyahoga Valley NP","National Park","OH","Midwest","CUVA",NULL,NULL,NULL,"Free","20577657","2572207","2912454","Significant (1M-3M/yr)","575181600","71897700","858597100","107324638","994","37677463","27.15","Untapped: Free + High Traffic",0,1,NULL,"Tier 1","9002725"
"Indiana Dunes NP","National Park","IN","Midwest","INDU","15","per-person","15","Mid ($10-19)","19824432","2478054","2705209","Significant (1M-3M/yr)","948402000","118550250","1338870900","167358863","1368","63071075","47.37","Aligned",0,1,NULL,NULL,"0"
"Point Reyes NS","National Seashore","CA","Pacific West","PORE",NULL,NULL,NULL,"Free","19086274","2385784","2371800","Significant (1M-3M/yr)","968048900","121006113","1236574900","154571863","1190","64734975","50.72","Untapped: Free + High Traffic",0,1,NULL,"Tier 1","8350244"
"Assateague Island NS","National Seashore","MD","Northeast","ASIS","25","per-vehicle","10","Mid ($10-19)","18947609","2368451","2282498","Significant (1M-3M/yr)","895837800","111979725","1027961600","128495200","1339","44415138","47.25","Aligned",0,1,NULL,NULL,"0"
"Bryce Canyon NP","National Park","UT","Intermountain","BRCA","20","per-person","20","High ($20+)","18729325","2341166","2498075","Significant (1M-3M/yr)","1677817500","209727188","1957727000","244715875","2832","73733700","89.55","Aligned",1,1,NULL,NULL,"0"
"Boston NHP","National Historical Park","MA","Northeast","BOST",NULL,NULL,NULL,"Free","18441061","2305133","2744458","Significant (1M-3M/yr)","1156610000","144576250","1694057800","211757225","1795","82658563","63.01","Untapped: Free + High Traffic",0,1,NULL,"Tier 2","8067966"
"Mount Rushmore NMEM","National Memorial","SD","Midwest","MORU",NULL,NULL,NULL,"Free","18035440","2254430","1850329","Significant (1M-3M/yr)","1760259600","220032450","2399063500","299882938","3063","98167363","97.89","Untapped: Free + High Traffic",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Rock Creek Park","Park (Other)","DC","National Capital","ROCR",NULL,NULL,NULL,"Free","16663054","2082882","1917170","Significant (1M-3M/yr)","337664100","42208013","497935400","62241925","526","23237063","20.39","Untapped: Free + High Traffic",0,1,NULL,"Tier 2","7290087"
"Kennesaw Mountain NBP","National Battlefield Park","GA","Southeast","KEMO","5","per-person","5","Low ($1-9)","16238239","2029780","1495856","Significant (1M-3M/yr)","1006098400","125762300","1541670300","192708788","1848","67063000","63.01","Underpriced: Low Fee + High Traffic",0,1,NULL,NULL,"0"
"Hot Springs NP","National Park","AR","Midwest","HOSP",NULL,NULL,NULL,"Free","15657667","1957208","2461812","Significant (1M-3M/yr)","1098776300","137347038","1459135800","182391975","1913","53398763","69.02","Untapped: Free + High Traffic",0,1,NULL,"Tier 1","6850228"
"Valley Forge NHP","National Historical Park","PA","Northeast","VAFO",NULL,NULL,NULL,"Free","15208244","1901031","1866480","Significant (1M-3M/yr)","206704000","25838000","323247000","40405875","388","14958813","13.66","Untapped: Free + High Traffic",0,1,NULL,"Tier 2","6653609"
"Canaveral NS","National Seashore","FL","Southeast","CANA","15","per-person","15","Mid ($10-19)","14546811","1818351","1884091","Significant (1M-3M/yr)","628881300","78610163","857466800","107183350","991","36339425","43.39","Aligned",0,1,NULL,NULL,"0"
"Gateway Arch NP","National Park","MO","Midwest","JEFF",NULL,NULL,NULL,"Free","13705441","1713180","2563052","Significant (1M-3M/yr)","1189318100","148664763","1942277200","242784650","2343","84214575","90.34","Untapped: Free + High Traffic",0,1,NULL,"Tier 1","5996130"
"Big Cypress NPRES","National Preserve","FL","Southeast","BICY",NULL,NULL,NULL,"Free","13436873","1679609","2216708","Significant (1M-3M/yr)","1184872500","148109063","1727997700","215999713","1839","74615588","85.91","Untapped: Free + High Traffic",0,1,NULL,"Tier 1","5878632"
"Sleeping Bear Dunes NL","National Lakeshore","MI","Midwest","SLBE","25","per-vehicle","10","Mid ($10-19)","13102768","1637846","1670025","Significant (1M-3M/yr)","1528174600","191021825","1895323800","236915475","2471","72707450","116.67","Aligned",0,1,NULL,NULL,"0"
"Chickasaw NRA","National Recreation Area","OK","Intermountain","CHIC",NULL,NULL,NULL,"Free","12507780","1563473","1670498","Significant (1M-3M/yr)","223048600","27881075","180027200","22503400","256","7172775","17.72","Untapped: Free + High Traffic",0,1,NULL,"Tier 2","5472156"
"Arches NP","National Park","UT","Intermountain","ARCH","15","per-person","15","Mid ($10-19)","12316460","1539558","1466528","Significant (1M-3M/yr)","1817607500","227200938","2255528900","281941113","3038","89796713","148.59","Aligned",0,1,NULL,NULL,"0"
"Mount Rainier NP","National Park","WA","Pacific West","MORA","15","per-person","15","Mid ($10-19)","12183491","1522936","1620006","Significant (1M-3M/yr)","479566200","59945775","611041900","76380238","611","27479425","39.10","Aligned",0,1,NULL,NULL,"0"
"Shenandoah NP","National Park","VA","Northeast","SHEN","15","per-person","15","Mid ($10-19)","12153357","1519170","1720211","Significant (1M-3M/yr)","850506500","106313313","1150154000","143769250","1239","54249263","69.86","Aligned",0,1,NULL,NULL,"0"
"Pearl Harbor NMEM","National Memorial","HI","Pacific West","PERL",NULL,NULL,NULL,"Free","11871183","1483898","1588798","Significant (1M-3M/yr)","1994145200","249268150","2906942300","363367788","2633","123488150","172.35","Untapped: Free + High Traffic",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Buffalo NR","National River","AR","Midwest","BUFF",NULL,NULL,NULL,"Free","11575198","1446900","1686348","Significant (1M-3M/yr)","549194500","68649313","646133200","80766650","913","25198513","47.26","Untapped: Free + High Traffic",0,1,NULL,"Tier 1","5064150"
"New River Gorge NP & PRES","National Park","WV","Northeast","NERI",NULL,NULL,NULL,"Free","11446783","1430848","1811937","Significant (1M-3M/yr)","549021700","68627713","648466500","81058313","891","26211538","47.34","Untapped: Free + High Traffic",0,1,NULL,"Tier 1","5007968"
"John D. Rockefeller, Jr. MEM PKWY","National Parkway","WY","Intermountain","JODR",NULL,NULL,NULL,"Free","11275643","1409455","1459804","Significant (1M-3M/yr)","74701200","9337650","84309200","10538650","114","3898950","6.67","Untapped: Free + High Traffic",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Hawaii Volcanoes NP","National Park","HI","Pacific West","HAVO","15","per-person","15","Mid ($10-19)","10989339","1373667","1433593","Significant (1M-3M/yr)","1292775300","161596913","1688494900","211061863","1604","72794200","116.23","Aligned",0,1,NULL,NULL,"0"
"Lake Meredith NRA","National Recreation Area","TX","Intermountain","LAMR",NULL,NULL,NULL,"Free","10511507","1313938","1212905","Significant (1M-3M/yr)","395156600","49394575","408487200","51060900","586","16817813","37.37","Untapped: Free + High Traffic",0,1,NULL,"Tier 2","4598783"
"Death Valley NP","National Park","CA","Pacific West","DEVA","15","per-person","15","Mid ($10-19)","10349984","1293748","1440484","Significant (1M-3M/yr)","922411200","115301400","1204660900","150582613","1349","55152100","89.26","Aligned",0,1,NULL,NULL,"0"
"Ozark NSR","National River","MO","Midwest","OZAR",NULL,NULL,NULL,"Free","10266231","1283279","1343779","Significant (1M-3M/yr)","482490200","60311275","537260300","67157538","835","20094650","46.88","Untapped: Free + High Traffic",0,1,NULL,"Tier 1","4491477"
"Lake Roosevelt NRA","National Recreation Area","WA","Pacific West","LARO",NULL,NULL,NULL,"Free","10156549","1269569","1091489","Significant (1M-3M/yr)","481361200","60170150","576656700","72082088","696","23242400","47.67","Untapped: Free + High Traffic",0,1,NULL,"Tier 2","4443492"
"San Antonio Missions NHP","National Historical Park","TX","Intermountain","SAAN",NULL,NULL,NULL,"Free","10045658","1255707","1278777","Significant (1M-3M/yr)","757692600","94711575","1146232800","143279100","1378","48163850","75.62","Untapped: Free + High Traffic",0,1,NULL,"Tier 2","4394975"
"National Capital Parks East","Park (Other)","DC","National Capital","NCPE",NULL,NULL,NULL,"Free","9925224","1240653","1271126","Significant (1M-3M/yr)","219114000","27389250","322360200","40295025","340","15166588","22.05","Untapped: Free + High Traffic",0,1,NULL,"Tier 2","4342286"
"Capitol Reef NP","National Park","UT","Intermountain","CARE","10","per-person","10","Mid ($10-19)","9909661","1238708","1422490","Significant (1M-3M/yr)","789399400","98674925","898681000","112335125","1250","32748088","79.20","Aligned",0,1,NULL,NULL,"0"
"National Capital Parks Central","Park (Other)","DC","National Capital","NCPC",NULL,NULL,NULL,"Free","9841671","1230209","1034341","Significant (1M-3M/yr)","426869900","53358738","639373500","79921688","656","31373925","48.95","Untapped: Free + High Traffic",0,1,NULL,"Tier 2","4305732"
"Fort Point NHS","National Historic Site","CA","Pacific West","FOPO",NULL,NULL,NULL,"Free","9235204","1154401","1189908","Significant (1M-3M/yr)","576867700","72108463","796835800","99604475","798","41200650","63.01","Untapped: Free + High Traffic",0,1,NULL,"Tier 2","4040404"
"Sequoia NP","National Park","CA","Pacific West","SEQU","20","per-person","20","High ($20+)","9065875","1133234","1309573","Significant (1M-3M/yr)","736174400","92021800","876540000","109567500","1099","39308188","81.14","Aligned",1,1,NULL,NULL,"0"
"Amistad NRA","National Recreation Area","TX","Intermountain","AMIS",NULL,NULL,NULL,"Free","8698651","1087331","832294","Significant (1M-3M/yr)","407527100","50940888","425119500","53139938","638","16468900","47.38","Untapped: Free + High Traffic",0,1,NULL,"Tier 2","3805659"
"Timucuan EHP","National Preserve","FL","Southeast","TIMU",NULL,NULL,NULL,"Free","8569840","1071230","997136","Significant (1M-3M/yr)","537401900","67175238","763746000","95468250","961","31745313","63.01","Untapped: Free + High Traffic",0,1,NULL,"Tier 1","3749305"
"Badlands NP","National Park","SD","Midwest","BADL","15","per-person","15","Mid ($10-19)","8322877","1040360","1094245","Significant (1M-3M/yr)","695677900","86959737","913058600","114132325","1140","35634350","83.01","Aligned",0,1,NULL,NULL,"0"
"San Juan NHS","National Historic Site","PR","Southeast","SAJU","10","per-person","10","Mid ($10-19)","8123629","1015454","1329728","Significant (1M-3M/yr)","640721800","80090225","887501000","110937625","854","39328475","74.82","Aligned",0,1,NULL,NULL,"0"
"Minute Man NHP","National Historical Park","MA","Northeast","MIMA",NULL,NULL,NULL,"Free","7964216","995527","879316","Moderate (100K-1M/yr)","500278100","62534763","736373900","92046738","786","35875613","63.01","Aligned",0,1,NULL,NULL,"0"
"Pictured Rocks NL","National Lakeshore","MI","Midwest","PIRO","15","per-person","15","Mid ($10-19)","7770319","971290","953052","Moderate (100K-1M/yr)","367304900","45913113","379228400","47403550","541","14572225","47.10","Aligned",0,1,NULL,NULL,"0"
"Curecanti NRA","National Recreation Area","CO","Intermountain","CURE",NULL,NULL,NULL,"Free","7705584","963198","980899","Moderate (100K-1M/yr)","363198300","45399788","416031300","52003913","511","17993613","47.07","Aligned",0,1,NULL,NULL,"0"
"Saguaro NP","National Park","AZ","Intermountain","SAGU","15","per-person","15","Mid ($10-19)","7649872","956234","946369","Moderate (100K-1M/yr)","530853800","66356725","789023500","98627938","873","34020750","69.31","Aligned",0,1,NULL,NULL,"0"
"Fort Vancouver NHS","National Historic Site","WA","Pacific West","FOVA","10","per-person","10","Mid ($10-19)","7617568","952196","1007756","Moderate (100K-1M/yr)","479506500","59938313","708602400","88575300","823","31760675","63.01","Aligned",0,1,NULL,NULL,"0"
"Chickamauga & Chattanooga NMP","National Military Park","GA","Southeast","CHCH","10","per-person","10","Mid ($10-19)","7530636","941330","1003081","Moderate (100K-1M/yr)","475527500","59440938","596021300","74502663","837","23865475","62.99","Aligned",0,1,NULL,NULL,"0"
"Stonewall NM","National Monument","NY","Northeast","STON",NULL,NULL,NULL,"Free","7494192","936774","2302641","Moderate (100K-1M/yr)","487358600","60919825","696461700","87057713","631","34643913","63.45","Aligned",0,1,NULL,NULL,"0"
"Ross Lake NRA","National Recreation Area","WA","Pacific West","ROLA",NULL,NULL,NULL,"Free","7367709","920964","971173","Moderate (100K-1M/yr)","355497600","44437200","426313600","53289200","416","19808363","48.16","Aligned",0,1,NULL,NULL,"0"
"Everglades NP","National Park","FL","Southeast","EVER","20","per-person","20","High ($20+)","7085795","885724","741983","Moderate (100K-1M/yr)","795667300","99458413","1221398700","152674838","1323","53812038","113.58","Possibly Overpriced",1,1,NULL,NULL,"0"
"Whiskeytown NRA","National Recreation Area","CA","Pacific West","WHIS","15","per-person","15","Mid ($10-19)","6964582","870573","812244","Moderate (100K-1M/yr)","332186800","41523350","375847100","46980888","497","16919150","47.25","Aligned",0,1,NULL,NULL,"0"
"Haleakala NP","National Park","HI","Pacific West","HALE","15","per-person","15","Mid ($10-19)","6934581","866823","732477","Moderate (100K-1M/yr)","475862100","59482763","599767300","74970913","599","26573350","68.85","Aligned",0,1,NULL,NULL,"0"
"Fredericksburg & Spotsylvania NMP","National Military Park","VA","Northeast","FRSP",NULL,NULL,NULL,"Free","6747545","843443","818533","Moderate (100K-1M/yr)","423526300","52940788","586862500","73357813","646","27705800","63.01","Aligned",0,1,NULL,NULL,"0"
"President's Park","Park (Other)","DC","National Capital","PRPA",NULL,NULL,NULL,"Free","6522050","815256","915636","Moderate (100K-1M/yr)","132028400","16503550","193406600","24175825","203","9017075","20.39","Aligned",0,1,NULL,NULL,"0"
"Gettysburg NMP","National Military Park","PA","Northeast","GETT",NULL,NULL,NULL,"Free","6386262","798283","741574","Moderate (100K-1M/yr)","439686000","54960750","610665400","76333175","656","28951388","69.31","Aligned",0,1,NULL,NULL,"0"
"Cabrillo NM","National Monument","CA","Pacific West","CABR","10","per-person","10","Mid ($10-19)","6233118","779140","845912","Moderate (100K-1M/yr)","392464600","49058075","537875000","67234375","612","25790488","63.01","Aligned",0,1,NULL,NULL,"0"
"Santa Monica Mountains NRA","National Recreation Area","CA","Pacific West","SAMO",NULL,NULL,NULL,"Free","6230654","778832","639745","Moderate (100K-1M/yr)","294305600","36788200","407808500","50976063","435","19637813","47.43","Aligned",0,1,NULL,NULL,"0"
"Big South Fork NRRA","National River","TN","Southeast","BISO",NULL,NULL,NULL,"Free","6223277","777910","779602","Moderate (100K-1M/yr)","207759000","25969875","231468700","28933588","302","9805863","33.34","Aligned",0,1,NULL,NULL,"0"
"Muir Woods NM","National Monument","CA","Pacific West","MUWO","15","per-person","15","Mid ($10-19)","6214874","776859","792494","Moderate (100K-1M/yr)","689646000","86205750","943951600","117993950","808","51897125","113.65","Aligned",0,1,NULL,NULL,"0"
"Saint Croix NSR","National Wild & Scenic River","WI","Midwest","SACN",NULL,NULL,NULL,"Free","6206957","775870","900828","Moderate (100K-1M/yr)","291910100","36488763","409576900","51197113","477","17790838","46.82","Aligned",0,1,NULL,NULL,"0"
"Mojave NPRES","National Preserve","CA","Pacific West","MOJA",NULL,NULL,NULL,"Free","6198117","774765","424864","Moderate (100K-1M/yr)","390076100","48759513","502663600","62832950","582","23342238","62.96","Aligned",0,1,NULL,NULL,"0"
"Klondike Gold Rush NHP Alaska","National Historical Park","AK","Alaska","KLGO",NULL,NULL,NULL,"Free","6036706","754588","1336008","Moderate (100K-1M/yr)","1014881200","126860150","1306549200","163318650","1826","68508375","139.30","Aligned",0,1,NULL,NULL,"0"
"Canyonlands NP","National Park","UT","Intermountain","CANY","15","per-person","15","Mid ($10-19)","6019185","752398","818492","Moderate (100K-1M/yr)","553918800","69239850","649257100","81157138","856","25922900","90.13","Aligned",0,1,NULL,NULL,"0"
"Cumberland Gap NHP","National Historical Park","KY","Southeast","CUGA",NULL,NULL,NULL,"Free","5935413","741927","729249","Moderate (100K-1M/yr)","314573400","39321675","389940100","48742513","516","15925988","53.11","Aligned",0,1,NULL,NULL,"0"
"Cedar Breaks NM","National Monument","UT","Intermountain","CEBR","15","per-person","15","Mid ($10-19)","5778098","722262","722834","Moderate (100K-1M/yr)","398756200","49844525","476696600","59587075","649","18667000","69.21","Aligned",0,1,NULL,NULL,"0"
"Theodore Roosevelt NP","National Park","ND","Midwest","THRO","15","per-person","15","Mid ($10-19)","5644930","705616","732951","Moderate (100K-1M/yr)","386175600","48271950","429964600","53745575","580","17645925","68.28","Aligned",0,1,NULL,NULL,"0"
"Little River Canyon NPRES","National Preserve","AL","Southeast","LIRI","15","per-vehicle","6","Low ($1-9)","5313288","664161","763209","Moderate (100K-1M/yr)","338509000","42313625","453549400","56693675","611","18316000","63.01","Aligned",0,1,NULL,NULL,"0"
"White Sands NP","National Park","NM","Intermountain","WHSA","15","per-person","15","Mid ($10-19)","5158572","644822","702236","Moderate (100K-1M/yr)","314731200","39341400","376466700","47058338","509","14641550","60.28","Aligned",0,1,NULL,NULL,"0"
"Crater Lake NP","National Park","OR","Pacific West","CRLA","15","per-person","15","Mid ($10-19)","5047348","630919","504942","Moderate (100K-1M/yr)","464563500","58070438","645412300","80676538","822","28684425","92.90","Aligned",0,1,NULL,NULL,"0"
"Kings Canyon NP","National Park","CA","Pacific West","KICA",NULL,NULL,NULL,"Free","4985500","623188","699389","Moderate (100K-1M/yr)","458271900","57283988","578346500","72293313","729","25939063","91.65","Aligned",1,1,NULL,NULL,"0"
"Fort Matanzas NM","National Monument","FL","Southeast","FOMA",NULL,NULL,NULL,"Free","4977054","622132","680040","Moderate (100K-1M/yr)","315148400","39393550","439352200","54919025","558","17962188","63.01","Aligned",0,1,NULL,NULL,"0"
"Castillo de San Marcos NM","National Monument","FL","Southeast","CASA","15","per-person","15","Mid ($10-19)","4899481","612435","579825","Moderate (100K-1M/yr)","307240800","38405100","425100600","53137575","549","17404400","63.01","Aligned",0,1,NULL,NULL,"0"
"Wind Cave NP","National Park","SD","Midwest","WICA",NULL,NULL,NULL,"Free","4738353","592294","489399","Moderate (100K-1M/yr)","429929200","53741150","587730900","73466363","759","23044588","90.69","Aligned",0,1,NULL,NULL,"0"
"Padre Island NS","National Seashore","TX","Intermountain","PAIS","15","per-person","15","Mid ($10-19)","4675092","584387","514722","Moderate (100K-1M/yr)","238523500","29815438","282368000","35296000","386","11435000","51.83","Aligned",0,1,NULL,NULL,"0"
